Kaрина,758414509,/help
Kaрина,758414509,/help
Kaрина,758414509,/play
Kaрина,758414509,/stop
Kaрина,758414509,/play
Kaрина,758414509,/play
Kaрина,758414509,/play
Kaрина,758414509,/play
Kaрина,758414509,/move 12
Kaрина,758414509,/play
Kaрина,758414509,/play
Kaрина,758414509,/play
Kaрина,758414509,/stop
Kaрина,758414509,/play
Kaрина,758414509,/move 12
Kaрина,758414509,/play
Kaрина,758414509,/move 12
Kaрина,758414509,/move 14
Kaрина,758414509,/move 10
Kaрина,758414509,/move 10
Kaрина,758414509,/play
Kaрина,758414509,/play
Kaрина,758414509,/play
Kaрина,758414509,/play
Kaрина,758414509,/move 4
Kaрина,758414509,/move 1
Kaрина,758414509,/play
Kaрина,758414509,/move 5
Kaрина,758414509,/move 10
Kaрина,758414509,/move 2
